"You will be redirected to WebMoney in a few seconds.","You WebMoney in a few seconds."
"You will be redirected to WebMoney website when you place an order.","WebMoney website when you place an order."
"Error in creating an invoice.","Error in creating an invoice."
"Customer returned from WebMoney site.","Customer returned from WebMoney site."
"Selected currency code [%s] is not compatabile with WebMoney","Selected currency code [%s] is not compatabile with WebMoney"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Payer purse: ","Payer purse: "
"Payer WM: ","Payer WMID: "
"Transaction ID: ","Transaction ID: "
"LMI_SYS_INVS_NO: ","LMI_SYS_INVS_NO: "
"Seller purse","Seller purse: "
"Purse: ","Purse: "
"Seller purse: ","Seller purse: "