"You will be redirected to WebMoney in a few seconds.","Вы будете перeнаправлены на платежную систему Webmoney в течение нескольких секунд."
"You will be redirected to WebMoney website when you place an order.","Для оплаты заказа Вы будете перeнаправлены на платежную систему Webmoney."
"Error in creating an invoice.","Ошибка при создании фактуры."
"Customer returned from WebMoney site.","Покупатель возвратился с WebMoney."
"Selected currency code [%s] is not compatabile with WebMoney","Выбранная валюта [%s] не совместима с платежной системой WebMoney"
"There was an error occurred during paying process.","Ошибка платежа."
"Payer purse: ","Кошелек покупателя: "
"Payer WM: ","WMID покупателя: "
"Transaction ID: ","Транзакция: "
"LMI_SYS_INVS_NO: ","LMI_SYS_INVS_NO: "
"Seller purse","Кошелек продавца: "
"Purse: ","Кошелек: "
"Seller purse: ","Кошелек продавца: "
"Redirect text","Редирект текст"
"You may write your own redirect text. If you wish to use a default redirect text, clear this field please.","Здесь Вы можете переопределить стандартный текст редиректа покупателя на платежную систему Webmoney."
"Security Key","Secret Key"
"Webmoney Merchant Security Key. All purses must have same Security Key.","Секретный ключ в Webmoney Merchant. Для всех кошельков используется одинаковый Security Key."
"Your WMZ purse.","Кошелек WMZ."
"Your WME purse.","Кошелек WME."
"Your WMR purse.","Кошелек WMR."
"Your WMU purse.","Кошелек WMU."